"","lod"
"711",1.5731675583902
"712",2.23134097824818
"713",1.6874282474937
"714",2.14739350772933
"715",1.39877522885095
"716",1.93820137484067
"717",1.89919128729382
"718",2.11930575462638
"719",1.67076640139547
"720",2.60312087250755
"721",1.67374369569163
"722",2.78618078590183
"723",2.52644259433976
"724",1.12829322993238
"725",1.94580905163325
"726",1.25711408974463
"727",2.30712532148731
"728",3.60001042939433
"729",1.92869665154737
"730",2.5640409779285
"731",1.57770701272821
"732",2.46704051874579
"733",3.49793619785555
"734",2.21558519418303
"735",4.42253885343894
"736",2.83984293504068
"737",1.76787187505496
"738",1.77630656029301
"739",4.58229255462366
"740",1.60610180542217
"741",1.68153005442035
"742",2.00407631784628
"743",2.14508616808382
"744",3.96984555739843
"745",2.01689557745469
"746",2.14580844389383
"747",1.44098180555352
"748",2.00457252410814
"749",3.06314582334863
"750",1.83992787714685
"751",1.10974825016544
"752",1.58036845864785
"753",1.54792907069621
"754",2.35812138858211
"755",2.07337400040788
"756",2.01851295495749
"757",2.12536524309945
"758",1.82187065614519
"759",1.626835707677
"760",2.72124152973056
"761",1.83668099312852
"762",2.04639526219383
"763",1.62418495393339
"764",1.71611220863733
"765",1.54435900514974
"766",1.92458330392741
"767",2.38674591113141
"768",4.06579834058698
"769",1.83816135116639
"770",2.20022983001428
"771",2.23005905924698
"772",2.1706347795009
"773",2.69369211859933
"774",1.79577538843397
"775",1.25540748269825
"776",3.76267797958877
"777",3.17859046704621
"778",2.0707663826481
"779",2.30906256197181
"780",1.52886627659468
"781",2.01853149771104
"782",1.88955702593081
"783",1.74929250468315
"784",2.80327723531526
"785",1.94017738211411
"786",1.89300662305787
"787",1.71723636269537
"788",1.61069663817202
"789",1.02125258737189
"790",1.39360254142673
"791",1.79721574700802
"792",2.66824842913498
"793",2.10921526042871
"794",1.90947205539668
"795",4.06023023527148
"796",1.99018520669583
"797",2.7155130417047
"798",1.72747316078288
"799",1.77320684691124
"800",2.79885954502979
"801",2.88094214450814
"802",1.31786013575476
"803",1.59578796993566
"804",2.09857061084543
"805",2.28611711113983
"806",1.46466127792104
"807",1.96271888126034
"808",3.04317295595334
"809",1.87316387624597
"810",2.35593860997015
"811",2.41750474959109
"812",4.34527271936942
"813",1.59429109888781
"814",3.3235228193757
"815",2.45681485453754
"816",1.24566247502314
"817",1.31576694695872
"818",1.26320117860558
"819",2.25998193195927
"820",2.04501553554856
"821",3.03938693226026
"822",1.87506311125638
"823",1.47510612095661
"824",2.26656898915827
"825",2.45613798839041
"826",2.6243128416951
"827",2.33913125453923
"828",2.32900615738579
"829",2.22330360957454
"830",3.08521626460301
"831",2.46831724241613
"832",1.54785781251836
"833",2.03772561723989
"834",2.47756460606917
"835",1.28107812483968
"836",2.09645818116169
"837",2.59373841720029
"838",4.29786879657982
"839",2.12445369759264
"840",2.87011162657592
"841",1.7903913625377
"842",2.63642395759651
"843",3.77025450735324
"844",1.28258760189618
"845",2.28190538901318
"846",2.14451060448641
"847",2.74535979078237
"848",2.41092345782162
"849",1.12295255168216
"850",2.75671382256049
"851",2.44022228821106
"852",1.87992848768259
"853",2.59847740620782
"854",1.86543713671311
"855",3.55619174231306
"856",2.46033356310028
"857",1.69848575549814
"858",1.58937849961846
"859",2.65675157915193
"860",1.40083384568437
"861",2.93678482431056
"862",3.26757642785591
"863",1.49120284661201
"864",2.2102955665173
"865",2.20381928190604
"866",2.48410681673369
"867",1.03512479765618
"868",1.29633262684563
"869",2.36932936360725
"870",2.86915059966137
"871",2.64979901725104
"872",2.18201375805953
"873",2.08371509544827
"874",1.74527252288843
"875",2.38128256623735
"876",1.89402478383109
"877",1.95314883472714
"878",2.86642898713505
"879",1.86086925765356
"880",2.27516656066628
"881",2.56830084214553
"882",2.36605860122994
"883",1.75046042596205
"884",1.8885070726523
"885",2.24123871023791
"886",1.87110940984347
"887",2.65573638625688
"888",1.85471968729703
"889",1.84534503128928
"890",1.43590463968782
"891",1.85786768170911
"892",2.20343190736607
"893",2.09865553120184
"894",2.42350793381158
