task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
34	ee/ed51ad	2940063	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:29:37.843	23.6s	23.1s	312.6%	1.2 GB	66.1 GB	44 MB	28.7 MB
37	3f/e07aaf	2944620	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:30:01.437	492ms	0ms	65.5%	6.7 MB	10.3 MB	4.9 MB	1.3 KB
32	49/2e3151	2941591	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:29:44.958	17s	16.7s	264.4%	1.1 GB	66.1 GB	27.3 MB	14 MB
38	fe/0db5c8	2944621	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT (WT_REP1)	COMPLETED	0	2026-09-14 11:30:01.455	759ms	1s	90.9%	7 MB	10.3 MB	14.6 MB	1.7 KB
39	60/68ce07	2945008	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT (WT_REP2)	COMPLETED	0	2026-09-14 11:30:01.947	547ms	0ms	85.8%	5.9 MB	10.3 MB	7.2 MB	1.7 KB
40	e9/95c353	2945010	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:30:01.959	536ms	0ms	84.0%	10.9 MB	33.4 MB	7.5 MB	1.7 KB
44	e5/514391	2945345	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:30:02.224	439ms	0ms	42.5%	6.8 MB	10.3 MB	2.5 MB	1.3 KB
42	1f/93cfc4	2945681	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:30:02.505	1.8s	2s	71.6%	290.6 MB	418.2 MB	6 MB	34.1 KB
41	dd/c4be0e	2945012	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:30:01.977	4.1s	3s	165.7%	257.5 MB	15.4 GB	15.8 MB	1.9 MB
56	0c/0a4b4f	2946860	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	2026-09-14 11:30:06.056	624ms	0ms	36.1%	4 KB	3.9 MB	1.2 MB	3.3 KB
45	b4/009852	2945817	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED (WT_REP1)	COMPLETED	0	2026-09-14 11:30:02.671	4s	4s	224.8%	463.1 MB	15.4 GB	21.8 MB	3.8 MB
50	1f/19db38	2947263	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:30:06.712	4s	4s	182.3%	290.1 MB	15.4 GB	17 MB	3.7 MB
46	56/0bda9f	2946859	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT_REP1)	COMPLETED	0	2026-09-14 11:30:06.046	5.5s	5s	98.8%	7.8 MB	11.2 MB	14.5 MB	8.2 MB
47	41/ff5800	2948301	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED (WT_REP2)	COMPLETED	0	2026-09-14 11:30:10.690	4s	4s	211.9%	300.2 MB	15.4 GB	16.8 MB	3.8 MB
53	2c/54ce33	2948702	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:30:11.527	4s	4s	137.5%	259.6 MB	15.4 GB	13.4 MB	1.8 MB
51	56/e5ca14	2949656	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:30:15.538	1.5s	2s	83.1%	306.2 MB	425.2 MB	6.1 MB	35.9 KB
48	7d/b8432e	2950087	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (WT_REP2)	COMPLETED	0	2026-09-14 11:30:17.090	1.2s	1s	105.9%	4.1 MB	20.4 MB	5.9 MB	35.7 KB
43	51/171cfe	2946345	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:30:04.293	22.5s	22s	97.1%	917.9 MB	4.9 GB	50.3 MB	11.5 MB
